sku,title,author,brand,price
CV244,Lost Bird,"Christors Lialios, Katerina Vazaoura",Big black mountain the darkness never ever comes,38
CV245,Making And Repairing,Apostolos Ntelakos,Big black mountain the darkness never ever comes,22
CV246,Panic at the Gender Reveal Party,Never Brush my Teeth,Self-Published,18
CV247,Simplidiy – Patterns of Anarchy,Mutual Aid,Self-Published,5
CV248,Who Needs a Jacket In the Winter…,Never Brush my Teeth,Self-Published,18
CV249,A Queer Theory of the state,,,22
CV250,Alphabetical Diaries,,Fitzcarraldo Editions,26
CV251,Auto-Tune Theory,,NERO,20
CV252,Care where no-one does - grassroot,,,24
CV253,"Cycles, the Sacred and the Doomed",,,28
CV254,Das Manifest für Gefährten,"Haraway, Donna",Merve,24
CV255,Feeding On Light,,,36
CV256,Flüchtigkeitsmanagement,"Avanessian, Armen",Merve,25
CV257,Getting Lost,,Fitzcarraldo Editions,26
CV258,Hit SIngle,Rainer Brenner,,5
CV259,LOTE,"Reinhold, Shola von Jeschke",Merve,CH36F 40
CV260,"Monogamous Mind, Polyamorous Terror",,SPBH,22
CV261,Of Dogs and Daughters - Between,,,16
CV262,Pleasant Place (diverse Ausgaben 1/2/3/4/5/6),,,18
CV263,Pocket Decision Book,,,18
CV264,RAISING MOTHS. ATTEMPTS AT (MUSICAL) EKPHRASIS ON HARUOMI HOSONO’S WATERING A FLOWER,"Federico Antonini, Sergio Savini",NERO,22
CV265,Rhizom,,Merve,12
CV266,Silent Whale Letters,,,22
CV267,Stinkhorn - How Nature’s Most Foul,,,36
CV268,Superstorm - Design and Politics,,,28
CV269,The City Is Ours #5: Manhole Covers,,,22
CV270,The Collection for the Poor Collector,Thomas Geiger (ed.),Edition Taube,6
CV271,Forgive Us Our Trespasses,,,24
CV272,The Valley (a void),,SPBH,16
CV273,Trans: Gender und «Race» in einer Zeit unsicherer Identitäten,Rogers Brubaker,Edition Patrick Frey,20
CV274,Von der Freundschaft als Lebensweise,,Merve,22
CV275,Climate Tribunal,Paolo Cirio,Self-Published,30
CV276,Der Vierte Pol,,Edition Taube,18
CV277,How to Hum,,Butter Books,14
CV278,Material Cultures,,,20
CV279,On Slaughter,Klar Hobza,Mark Pezinger,20
CV280,Pear Drop,Robineggpie,Self-Published,22
CV281,The Cult of the Green Women,Rebecca Parkin,Zabludowicz Collection,22
CV282,Fifty Sounds,,Fitzcarraldo Editions,32
CV283,Gaia and Philosophy,"Margulis, Lynn; Sagan, Dorion; Yi, Anicka",Silver Press,15
CV284,"Oh, To Be a Painter!",,David Zwirner,24
CV285,A Garden Manifesto ,Olivia Laing,,28
CV286,Architekturfotografie,Bianca Pedrina,Mark Pezinger,18
CV287,Computers At Work,,Ness,16
CV288,Deep Fried Feels,Clusterduck,NERO,16
CV289,Flametti (Book),Hugo Ball,Edition Fink,28
CV290,Lo Va.,,Zuni Zines,18
CV291,"one bed, two blankets, seventy-six rules","Sabine Hess, Nicolas Polli",Ciao Press,28
CV292,Terrible News,Never Brush my Teeth,Self-Published,18
CV293,Und im Sommer tu ich malen,Hank Schmidt in der Beek / Fabian Schubert,Edition Taube,34
CV294,Vandalisme Queer,Sara Ahmed,Bun Aout,12
CV295,Why red M&M‘s disappeared for almost a decade,,Edizione Multicolore,20
CV296,Blind Folly,,SPBH,24
CV297,DEARS #2,verschiedene,a winning cake,12
CV298,DEARS #3,verschiedene,a winning cake,12
CV299,DEARS #5,verschiedene,a winning cake,12
CV300,Die Verzauberung des Werts – Blockchain und die Folgen,Alexandra Papadopoulos,Edition Patrick Frey,16
CV301,Folio G: Gendered Labour and Clito,,,22
CV302,Light Flies,Marc Kämpfen,Lemon Press,10
CV303,Punk Suprematism,,,20
CV304,The Nose,Hannah Le Feuvre,Bronze Age Editions,13
CV305,The Weather of Business Cycles,Lourenço Soares,Lemon Press,10
CV306,The Carrier Bag Theory of Fiction,"K. Le Guin, Ursula",,16
CV307,24 Houses,Jonas von Ostrowski,Edition Taube,54
CV308,A Strange Adventure,Eva Forest,,16
CV309,Ancient Knowledge Survival Kit,Studio for Propositional Cinema,,12
CV310,"AS, THEN",Peter Downsbrough,Edition Taube,22
CV311,Blue,Derek Jarman,David Zwirner,22
CV312,Confessions of a poor collector,Eugene M. Schwartz,Edition Taube,8
CV313,Dada Zine A6,,,5
CV314,Das Signal,"Ann-Kathrin Müller, Judith Engel",Edition Taube,45
CV315,Die Krise der Expertise,Gil Eyal,Edition Patrick Frey,16
CV316,Die Zähmung des Zufalls,Ian Hacking,Edition Patrick Frey,16
